kode_wilayah,nama_wilayah,level,kode_parent
1103060028,ARAFAH,desa,1103060
1103070,SAWANG,kecamatan,1103
1103070001,SAWANG BA'U,desa,1103070
1103070002,UJUNG PADANG,desa,1103070
1103070003,KUTA BARO,desa,1103070
1103070004,SIMPANG TIGA,desa,1103070
1103070005,BLANG GEULINGGANG,desa,1103070
1103070006,MEULIGO,desa,1103070
1103070007,SAWANG I,desa,1103070
1103070008,SAWANG II,desa,1103070
1103070009,UJUNG KARANG,desa,1103070
1103070010,LHOK PAWOH,desa,1103070
1103070011,PANTON LUAS,desa,1103070
1103070012,TRIENG MEUDURO TUNONG,desa,1103070
1103070013,TRIENG MEUDURO BAROH,desa,1103070
1103070014,SIKULAT,desa,1103070
1103070015,MUTIARA,desa,1103070
1103080,MEUKEK,kecamatan,1103
1103080001,ALUE MEUTUAH,desa,1103080
